Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Estonia,EST,2015,0,0,0,0,0,0,0,0,0,"17,402.04"
Estonia,EST,2016,0,0,0,0,0,0,0,0,0,"18,295.34"
Estonia,EST,2017,0,0,0,0,0,0,0,0,0,"20,437.77"
Estonia,EST,2018,0,0,0,0,0,0,0,0,0,"23,063.56"
Estonia,EST,2019,0,0,0,0,0,0,0,0,0,"23,397.88"
Eswatini,SWZ,2015,137,59,66,193,0,8,8,135,6,"3,680.35"
Eswatini,SWZ,2016,129,55,62,182,0,7,7,126,5,"3,425.53"
Eswatini,SWZ,2017,126,54,60,178,0,7,7,123,5,"3,914.42"
Eswatini,SWZ,2018,118,50,56,167,0,7,6,115,5,"4,107.09"
Eswatini,SWZ,2019,112,47,53,158,0,6,6,108,4,"3,889.85"
Ethiopia,ETH,2015,24236,10067,3955,25857,59,2015,1538,20115,1530,640.54
Ethiopia,ETH,2016,23334,9725,3813,24963,56,1986,1526,19431,1409,717.12
Ethiopia,ETH,2017,23814,9884,3684,25354,58,1918,1484,19745,1372,768.52
Ethiopia,ETH,2018,22222,9224,3329,23630,54,1770,1376,18412,1236,771.52
Ethiopia,ETH,2019,20133,8384,3000,21462,47,1645,1286,16724,1082,855.76
Fiji,FJI,2015,23,2,4,19,0,1,1,9,1,"5,390.71"
Fiji,FJI,2016,22,1,4,18,0,1,1,8,1,"5,651.27"
Fiji,FJI,2017,21,1,4,17,0,1,1,8,0,"6,101.02"
Fiji,FJI,2018,20,1,3,17,0,1,1,7,0,"6,317.41"
Fiji,FJI,2019,19,1,3,16,0,1,1,7,0,"6,175.89"
Finland,FIN,2015,0,0,0,0,0,0,0,0,0,"42,801.91"
Finland,FIN,2016,0,0,0,0,0,0,0,0,0,"43,814.03"
Finland,FIN,2017,0,0,0,0,0,0,0,0,0,"46,412.14"
Finland,FIN,2018,0,0,0,0,0,0,0,0,0,"49,988.91"
Finland,FIN,2019,0,0,0,0,0,0,0,0,0,"48,628.64"
France,FRA,2015,8,0,5,1,0,2,1,0,0,"36,652.92"
France,FRA,2016,8,0,5,1,0,2,1,0,0,"37,062.53"
France,FRA,2017,7,0,4,1,0,2,1,0,0,"38,781.05"
France,FRA,2018,7,0,4,1,0,1,1,0,0,"41,592.80"
France,FRA,2019,7,0,4,1,0,1,1,0,0,"40,578.64"
Gabon,GAB,2015,83,32,36,91,0,7,6,63,1,"7,384.70"
Gabon,GAB,2016,78,30,33,85,0,7,6,58,1,"6,984.42"
Gabon,GAB,2017,75,28,32,81,0,7,6,55,1,"7,230.43"
Gabon,GAB,2018,66,25,28,71,0,6,5,48,1,"7,959.01"
Gabon,GAB,2019,61,23,26,65,0,5,5,43,1,"7,767.00"
Georgia,GEO,2015,5,0,3,4,0,1,1,4,0,"4,014.19"
Georgia,GEO,2016,5,0,3,4,0,1,1,3,0,"4,062.17"
